Arabic,English,Dutch
مَسرَح، مَساِح,"theater, stage","theater, podium"
غِياب,"absence, disappearance","afwezigheid, verdwijning"
حَلَقة; حَلَقات,"ring, circle; link; program, show; (student) class, course","ring, cirkel; link; programma, show; (studenten)klas, cursus"
شَريف، شُرَفاء,"honorable, noble, respectable","eervol, nobel, respectabel"
ضَروريّ,"necessary, required","noodzakelijk, vereist"
فَساد,"corruption; deterioration, decomposition","corruptie; achteruitgang, ontbinding"
اِتِّفاقيّة; اِتِّفاقيّات,"treaty, accord","verdrag, overeenkomst"
تَذَكَّرَ,to remember something,iets onthouden
تَناوَلَ,"to deal with, treat (a subject, an issue); to eat (a meal); to ingest (medicine)","Omgaan met, behandelen (een onderwerp, een probleem); eten (een maaltijd); innemen (medicijn)"
هَواء,"air, atmosphere; climate","lucht, atmosfeer; klimaat"
على الهَواء,live (broadcasting),live (uitzending)
الحرمَيْن الشَّريفَيْن,The Two Holy Mosques (of Mecca and Medina),De twee heilige moskeeën (van Mekka en Medina)
قاضٍ/القاضي، قُضاة,"judge, magistrate","rechter, magistraat"
داعٍ/الداعي، دُعاة,"reason, cause, motive; calling for something, calling on somebody, inviting somebody; person (or voice) calling for","reden, oorzaak, motief; iets oproepen, iemand aanspreken, iemand uitnodigen; persoon (of stem) die oproept tot"
عَدْل,"justice, fairness","rechtvaardigheid, eerlijkheid"
وَزير العَدْل,Minister of Justice,Minister van Justitie
طَرَحَ، يَطرَحُ، الطَّرْح,"to throw, cast something; to pose, present, suggest (question, issue) على to somebody (for discussion); to offer (gesture, greeting); to offer something (for sale); to invite (bids, tenders); to float, put into circulation (shares)","gooien, werpen; een vraag stellen, voorleggen, suggereren (een vraag stellen, een kwestie aan de orde brengen) على aan iemand (ter discussie); een gebaar maken (een groet); iets te koop aanbieden; uitnodigen (biedingen, offertes); aandelen in omloop brengen, circuleren"
شَماليّ,northern,noordelijk
جَدّ/ة,grandfather/mother,grootvader/moeder
هاتِف، هَواتِف,phone,telefoon
حَفِظَ، يَحفَظُ، الحِفْظ,"to save, preserve, maintain; to protect, guard; to memorize","bewaren, behouden, onderhouden; beschermen, bewaken; onthouden"
ضُعْف,weakness,zwakte
إقليميّ,"regional, territorial, area; provincial, district","regionaal, territoriaal, gebied; provinciaal, district"
مَعهَد، مَعاهِد,"institute, academy, school","instituut, academie, school"
طَيْر، طُيور,bird,vogel
إمّا/إمّا…أو,either...or,of...
ريح، رِياح,wind; odor,wind; geur
سَلبيّ,"negative, passive","negatief, passief"
سَلبيّات,negative points,negatieve punten
بَكى، يَبكي، البُكى,"to cry, weep (على over something/somebody); to mourn, weep for somebody","huilen, wenen (على over iets/iemand); treuren, wenen om iemand"
دَواء، أدوية,"remedy, medicine, medication","geneesmiddel, medicijn, medicatie"
وِجهة; وِجهات,"direction, angle","richting, hoek"
وِجهة النَّظَر,point of view,standpunt
عُمْق، أعماق,"depth, deep, bottom","diepte, diep, bodem"
عَميق,"deep, profound","diep, fundamenteel"
بَلَديّة; بَلَديّات,"municipality, community, township; city council","gemeente, gemeenschap, dorp; gemeenteraad"
لاسِيَّما,especially,speciaal
ضَمان; ضَمانات,"guarantee, insurance","garantie, verzekering"
خَبير، خُبَراء,"expert, specialist","expert, specialist"
مَشى، يَمشي، المَشي,"to walk, go; to leave, go away","lopen, gaan; weggaan, vertrekken"
مَخُيَّم; مَخُيَّمات,"camp, refugee camp","kamp, ​​vluchtelingenkamp"
ماديّ,"material, physical; materialistic; financial","materieel, fysiek; materialistisch; financieel"
ماديّاً,"materially, physically; financially","materieel, fysiek; financieel"
تَوْفيق,"success; reconciliation, mediation","succes; verzoening, bemiddeling"
صَعيد، أصعِدة,level plane,vlak vlak
الصَّعيد,Upper Egypt,Opper-Egypte
فَوْراً/على الفَوْر,"immediately, at once","onmiddellijk, meteen"
فَورَ,immediately after,onmiddellijk daarna
فَرْض,"imposing, levying; religious duty","opleggen, heffen; religieuze plicht"
مُدَرِّب,"trainer, coach; instructor","trainer, coach; instructeur"
حَمْل,carrying; pregnancy,draagtijd; zwangerschap
يالله,C’mon! Hurry up! Let’s go!,Kom op! Schiet op! Laten we gaan!
كَمّيّة,"quantity, amount","hoeveelheid, hoeveelheid"
أيْ,"that is to say, in other word, i.e.","dat wil zeggen, met andere woorden, d.w.z."
قَدَّرَ,"to estimate, calculate, appraise something; to appreciate, value something; to allow, make possible (of God); to respect something, take something into consideration","Iets inschatten, berekenen, beoordelen; iets waarderen; toestaan, mogelijk maken (van God); iets respecteren, iets in overweging nemen"
حَرام,"forbidden, out of bounds; sacred, holy","verboden, buiten de grenzen; heilig, gewijd"
يا حَرام,what a shame!,Wat jammer!
مِتْر، أمتار,meter,meter
سوء,"offense; bad, ill; miss-","overtreding; slecht, ziek; miss-"
فَقَدَ، يَفقُد، الفَقْد,"to lose something; to lack, be missing something","iets verliezen; iets missen, iets tekortkomen"
اِشتَرى,"to buy, purchase something","iets kopen, aanschaffen"
كَلْب، كِلاب,dog,hond
نامَ، يَنامُ، النَّوْم,to sleep; lie down,slapen; gaan liggen
قَصْر، قُصور,"castle, palace","kasteel, paleis"
حادِثة، حَوادِث,"accident, mishap; event, incident","ongeluk, tegenslag; gebeurtenis, incident"
دَرْس، دُروس,"studying; examining, checking; lesson, course, study","bestuderen; onderzoeken, controleren; les, cursus, studie"
اِنتِهاء,"finish, completion, conclusion","voltooiing, afronding, conclusie"
تَضَمَّنَ,"to guarantee; to include, comprise","garanderen; omvatten, inhouden"
حَدَّدَ,"to specify, determine something; to set, define something","specificeren, bepalen; vaststellen, definiëren."
لَوحة; لَوحات,"painting, picture; panel, board","schilderij, afbeelding; paneel, plank"
لَوحة المَفاتيح,keyboard,toetsenbord
مِمَّن,from whom,van wie
طَرْح,"suggestion, proposal (topic, idea); offering (gesture, greeting); inviting (bids, tenders); floating, putting into circulation (shares)","suggestie, voorstel (onderwerp, idee); aanbod (gebaar, begroeting); uitnodiging (biedingen, aanbestedingen); in omloop brengen, verspreiden (aandelen)"
جُنوبيّ,"southern, south","zuidelijk, zuid"
عَرَضَ، يَعرِضُ، العَرْض,"to show, exhibit, present something; to review, inspect something","iets laten zien, tentoonstellen, presenteren; iets beoordelen, inspecteren"
مَقَرّ,"center, headquarters, main residence","centrum, hoofdkantoor, hoofdverblijfplaats"
باحِث,"searching (عن for); discussing (في something); researching (في something); researcher, scholar","zoeken (عن naar); bespreken (في iets); onderzoeken (في iets); onderzoeker, geleerde"
صُعوبة; صُعوبات,difficulty,moeilijkheidsgraad
طالَ، يَطولُ، الطَّوْل,to be long or length; to take a while ب for somebody,lang duren of een bepaalde lengte hebben; een tijdje duren voor iemand
ضَعيف، ضُعَفاء,"weak, powerless","zwak, machteloos"
مَفهوم، مَفاهيم,"understood; concept, notion; meaning, sense, definition","begrepen; concept, idee; betekenis, zin, definitie"
دُستور، دَساتير,constitution,grondwet
سَيْطَرة,"control, dominion","controle, heerschappij"
قادَ، يَقودُ، القِيادة,"to lead, guide somebody إلى to; to drive (a vehicle), pilot (a plane)","iemand leiden, begeleiden; een voertuig besturen, een vliegtuig besturen"
إذْن,"permission, authorization","toestemming, autorisatie"
بِإذْنِ الله,god-willing,als God het wil
أحَد,Sunday,Zondag
اِثنَيْن,Monday,Maandag
ثُلَثاء,Tuesday,Dinsdag
أربِعاء,Wednesday,Woensdag
خَميس,Thursday,Donderdag
جُمعة,Friday,Vrijdag
سَبت,Saturday,Zaterdag
أسير، أسرى,"prisoner, captive","gevangene, krijgsgevangene"
تُجاهَ,towards; facing,naar; gericht
حَسَّ، يَحِسُّ، الحَسّ,"to feel, sense ب something or أنَّ that","iets voelen, ervaren of ervaren dat"
سَعيد، سُعَداء,"happy, content","blij, tevreden"
حِكاية; حِكايات,"story, tale, account, narrative","verhaal, vertelling, verslag, vertelling"
تَشجيل,registration; recording; documentation,registratie; vastlegging; documentatie
تَيّار; تَيّارات,"current, stream","stroom, stroming"
جازَ، يَجوزُ، الجَوْز,"to be allowed, be possible ل بخق سز","toegestaan ​​zijn, mogelijk zijn ل بخق سز"
قُبول,"reception; acceptance, approval","ontvangst; acceptatie, goedkeuring"
كافٍ/الكافي,"sufficient, adequate; competent","voldoende, adequaat; competent"
إيمان,"faith, belief (ب in, بِأنّ that)","geloof, geloof (ب in, بِأنّ dat)"
حَفْل,"celebration, ceremony","viering, ceremonie"
مَلعَب، مَلاعِب,"playground; stadium, sports field","speelplaats; stadion, sportveld"
بَعدَما,after,na
ذاكِرة,memory (human and computer),geheugen (menselijk en computer)
غاز,natural gas,aardgas
شَرعيّ,"legitimate, lawful; legislative","legitiem, wettig; wetgevend"
أحلى,sweeter/sweetest,zoeter/zoetst
مِن ثَمَّ,"therefore, because of that, that is why","daarom, om die reden"
مَركَزيّ,central,centraal
هُدوء,"calmness, quiet, peace","kalmte, rust, vrede"
تَحَقَّقَ,"to become reality (dreams); to be achieved (peace, goals); to verify من something","werkelijkheid worden (dromen); bereikt worden (vrede, doelen); iets verifiëren"
حَيَوان; حَيَوانات,"animal, creature","dier, schepsel"
خَلَصَ، يَخلُصُ، الخُلوص,"to conclude إلى أنَّ that; to arrive إلى at (a place, a result)","concluderen إلى أنَّ dat; aankomen op (een plaats, een resultaat)"
مُناقَشة; مُناقَشات,"argument, debate","argument, debat"
تَوْزيع,"distribution, handing out (على among)","distributie, uitdelen (على onder)"
بالِغ,"extreme, intense, profound; serious, critical; reaching, attaining; adult","extreem, intens, diepgaand; serieus, kritisch; strevend, bereikend; volwassen"
تَأْمين,"securing, safeguarding, protecting; insuring, insurance","beveiligen, beschermen, behoeden; verzekeren, verzekering"
خِيار,"option, choice; selection, preference","optie, keuze; selectie, voorkeur"
مُعالَجة,"treatment (disease, sick person); dealing with (topic, problem, issue); processing (data)","behandeling (van een ziekte, van een zieke); omgaan met (een onderwerp, een probleem, een kwestie); verwerken (van gegevens)"
نُسخة، نُسَخ,"copy, replica","kopie, replica"
تَعليق; تَعليقات,"commenting; suspending; comment, remark, commentary","commentaar geven; opschorten; opmerking, commentaar"
"تَصميم, تَصاميم","determination, perseverance; design, sketch, plan","vastberadenheid, doorzettingsvermogen; ontwerp, schets, plan"
إله,"deity, god; God","godheid, god; God"
يَمين، أيمان,right side; (fem) right hand; (fem) oath,rechterkant; (vrouwelijk) rechterhand; (vrouwelijk) eed
سَكَنَ، يَسكُنُ، السَّكْن,"to reside, live, dwell في at/in","wonen, verblijven, verblijven in/op"
ساكِن,"residing, living في at/in","wonend, verblijvend في op/in"
شِعار; شِعارات,"slogan, motto; emblem, symbol","slogan, motto; embleem, symbool"
قَصْد,"intent, purpose, goal","intentie, doel, streven"
يَنبَغي,(imperfect) to be to do something; to be incumbent upon على somebody أنْ to do something (he should do something),(onvoltooid) iets doen; verplicht zijn على iemand أنْ iets doen (hij zou iets moeten doen)
اِتَّفَقَ,"to agree (مع with somebody, على on/about something)","het eens zijn (مع met iemand, على op/over iets)"
واصَلَ,to continue doing something,iets blijven doen
اِعتَرَفَ,"to admit, confess ب (having done) something; to acknowledge, recognize, accept ب something","toegeven, bekennen (iets gedaan te hebben); erkennen, erkennen, accepteren ب iets"
أثَّرَ,"to affect, influence على somebody/something","beïnvloeden, beïnvloeden على iemand/iets"
قَصَدَ، يَقصِدُ، القَصْد,"to intend, mean something; to pursue something","iets bedoelen, iets willen; iets nastreven"
أكَلَ، يَأْكُلُ، الأكْل,"to eat something; to corrode something; (figurative) to consume, gnaw at something/somebody","iets opeten; iets aantasten; (figuurlijk.) iets/iemand verteren, eraan knagen"
جَريدة، جَرائِد,"newspaper, periodical, journal","krant, tijdschrift, periodiek, journaal"
آه,ouch,auw
مُتَوَقَّع,"expected, anticipated","verwacht, voorzien"
اِلتِزام; اِلتِزامات,"following, adhering to ب (rules, laws, plans); commitment, obligation","het volgen van, zich houden aan (regels, wetten, plannen); verbintenis, verplichting"
طِوال,"throughout, during","gedurende, tijdens"
مُمَيِّز,"distinguished, prominent, outstanding; special","onderscheidend, prominent, uitmuntend; bijzonder"
مِنصِب، مَناصِب,"post, position; office","functie, positie; kantoor"
مَعقول,"reasonable, plausible, logical","redelijk, aannemelijk, logisch"
مَطار; مَطارات,"airport, airfield","vliegveld, luchthaven"
ثَمّة,there is/are,er is/zijn
مُشتَرِك,"participant, subscriber; participating, subscribing","deelnemer, abonnee; deelnemend, abonnerend"
فُندُق، فَنادِق,hotel,hotel
لاحَظَ,"to notice, observe something or أنّ that","iets opmerken, observeren of أنّ dat"
أقرَب، أقارِب,"closer/closest, sooner/soonest; relative","dichterbij/dichtst, eerder/snelst; relatief"
اِتِّخاذ,"taking; adopting, passing (a resolution)","het aannemen, goedkeuren, aannemen (van een resolutie)"
فِكريّ,"intellectual, mental","intellectueel, mentaal"
فَقير، فُقَراء,"poor, destitute; poor person","arm, behoeftig; arm persoon"
بُعد، أبعاد,dimension; distance,afmeting; afstand
أصدَرَ,"to publish (book), release (film); to issue (decree, ruling, decision); to pass (sentence); to emit (sound)","(Boek) publiceren, (film) uitbrengen; (besluit, uitspraak, beslissing) nemen; (vonnis) vellen; (geluid) uitzenden"
نَظَّمَ,"to organize, arrange; regulate","organiseren, regelen; reguleren"
صِفّة، صِفاف,"bank, shore","oever, kust"
الصِّفّة الغَربيّة,the West Bank,de Westelijke Jordaanoever
اِعتِماد,"reliance, dependence على on; recognition (of)","vertrouwen, afhankelijkheid van; erkenning (van)"
حَجَر، حِجارة,stone,steen
قَلَق,"unrest, unease; concern, anxiety","onrust, onbehagen; bezorgdheid, angst"
مَسيرة,"march, parade; movement, course","mars, parade; beweging, koers"
اِزدادَ,"to grow, increase, rise","groeien, toenemen, stijgen"
هامّ,"important, significant","belangrijk, significant"
حَرارة,"temperature, heat; fever; passion","temperatuur, hitte; koorts; passie"
خَليجيّ,relating to the Persian Gulf,met betrekking tot de Perzische Golf
سَيْر,"course, motion, march; going, walking","koers, beweging, mars; gaan, lopen"
ظَهْر,back; rear; deck (ship),achterkant; achterzijde; dek (schip)
عن ظَهْرِ قَلبٍ,by heart,uit het hart
هَدَفَ، يَهدَفُ، الهَدْف,"to target, aim at إلى something; to be intended, designated إلى for something (as a goal)","richten op, mikken op iets; bedoeld zijn voor, aangewezen zijn voor iets (als doel)"
مُتَعَدِّد,"diverse, numerous, multi-, poly-","divers, talrijk, multi-, poly-"
إيجاد,"finding, discovery","vinden, ontdekken"
فَصْل,"separating, detaching; firing, laying off; rendering a judgement, reaching a decision (في قَضية in a case)","scheiden, losmaken; ontslaan, afzetten; een oordeel vellen, een beslissing nemen (في قَضية in een zaak)"
عَفو,"pardon, amnesty","gratie, amnestie"
بارِد,"cold, frigid; (food) dull, flat, bland","koud, ijzig; (eten) saai, flauw, smakeloos"
تَحَرَّكَ,"to move, get moving","in beweging komen, in beweging komen"
واجِب; واجِبات,"necessary, obligatory (على for); duty, obligation, requirement","noodzakelijk, verplicht (على voor); plicht, verplichting, eis"
اِقتَرَبَ,to get close من to something; approach من something,dichtbij komen; iets benaderen
شِدّة,"intensity, forcefulness","intensiteit, kracht"
بِشِدّة,"forcefully, strongly","krachtig, sterk"
مُفيد,"useful, beneficial","nuttig, voordelig"
اِبنة,daughter (of),dochter (van)
رَسَمَ، يَرسَمُ، الرَّسْم,"to draw, sketch (picture); to outline, describe something; to design, plan something; to chart (a course)","Tekenen, schetsen (van een afbeelding); schetsen, beschrijven; ontwerpen, plannen; een koers uitzetten."
فَهْم,"understanding, comprehension","begrip, inzicht"
مَعنيّ,"concerned, affected; interested ب in, concerned ب with","betrokken, getroffen; geïnteresseerd in, bezorgd over"
جَواب; جَوابات,"answer, response","antwoord, reactie"
صادِق,"truthful, veracious","waarheidsgetrouw, oprecht"
مارَسَ,"to practice, pursue (profession, hobby); to practice, play (sport); to exercise, carry out (policy); to exert (pressure)","Een beroep of hobby uitoefenen, beoefenen; een sport beoefenen, spelen; een beleid uitvoeren, uitvoeren; druk uitoefenen."
وَليّ، أوْلِياء,"patron, protector","beschermheer, beschermer"
وَليّ الأمْر,"legal guardian, parent","wettelijke voogd, ouder"
مَيِّت، مَوْتى/أموات,"dead, deceased","dood, overleden"
وادٍ/الوادي,wadi (dry riverbed); valley,wadi (droge rivierbedding); vallei
أجرى,"to conduct, carry out, perform something","iets uitvoeren, verrichten, doen"
غالِب,"winner, victor; majority, most of","winnaar, overwinnaar; meerderheid, meeste"
غالِباً,"mostly, largely","meestal, grotendeels"
إلِكتُرونيّ,electronic,elektronisch
البَريد الإلِكتُرونيّ,email,e-mail
تَعليميّ,"educational, instructional, pedagogical","educatief, instructief, pedagogisch"
مُقارَنة; مُقارَنات,comparison,vergelijking
قَوْم,"people, nation","volk, natie"
ضَخْم,"large, voluminous","groot, volumineus"
ظُلْم,injustice,onrecht
ظُلماً,"wrongly, unjustly","ten onrechte, onrechtvaardig"
مَغرَبيّ، مَغارِبة,Moroccan; Maghrebi,Marokkaans; Maghrebijns
اِحتِمال,"probability, likelihood","waarschijnlijkheid, kans"
اِحتِمالات,possibilities,mogelijkheden
نافِذة، نَوافِذ,window,raam
عَيْش,"life, living","leven, bestaan"
إمكانيّة; إمكانيّات,possibility; capability,mogelijkheid; bekwaamheid
أهليّ,"civil, domestic; family, home; private (school)","burgerlijk, huiselijk; gezin, huis; privé (school)"
آمَنَ,to believe ب in something or بِإنّ/أنّ that,geloven ب in iets of بِإنّ/أنّ dat
حَضارة; حَضارات,civilization; culture,beschaving; cultuur
بَرلَمان,parliament,parlement
تَقنيّة; تَقنيّات,"technology, technique","technologie, techniek"
جُهُد,"effort, exertion, strain","inspanning, moeite, spanning"
وَعي,"consciousness; awareness, attention","bewustzijn; gewaarwording, aandacht"
حارِس، حُرّاس,"guard, sentry; guardian, keeper; (sports) goalie, goal-keeper","bewaker, schildwacht; beschermer, bewaarder; (sport) keeper, doelman"
صَحافة,"journalism, press","journalistiek, pers"
طَلَما/لَطَلَما,as long as; how often!,zolang als; hoe vaak!
طَلَما أنّ,provided that,mits
خَفيف,"light; slight, minor; sparse","licht; gering, gering; schaars"
مَنَعَ، يَمنَعُ، المَنْع,"to prevent, forbid something; to prevent somebody من/عن from doing something; to deprive somebody عن/من of something","iets voorkomen, verbieden; iemand ervan weerhouden iets te doen; iemand iets ontnemen."
جُملة، جُمَل,"sentence, clause; group, bunch, handful","zin, bijzin; groep, bundel, handvol"
بِالجُملة,"on the whole, altogether","over het algemeen, helemaal"
جُملةً وتَفصيلاً,"completely, through and through","volledig, door en door"
عَقْب، أعقاب,heel,hiel
عَقِبَ,immediately after,onmiddellijk daarna
مُبَكِّر,early,vroeg
ظُهْر,"noon, afternoon","middag, namiddag"
ظُهْراً,"in the afternoon, at noon","s Middags, om twaalf uur 's middags"
وافَقَ,"to agree with somebody على on something; to approve, authorize على something","met iemand eens zijn over iets; iets goedkeuren, autoriseren."
مُتَعَلِّق,"attached, connected (ب to something/somebody); concerning (ب something/somebody)","verbonden, geconnecteerd (met iets/iemand); betreffende (iets/iemand)"
زَميل، زُمَلاء,"colleague, associate, companion","collega, medewerker, metgezel"
كَيْفيّة,"manner, mode; way; how","manier, wijze; manier; hoe"
نَموذَج، نَماذِج,"sample; model, example","voorbeeld; model, voorbeeld"
حادِث، حَوادِث,"event, occurrence; incident, accident","gebeurtenis, voorval; incident, ongeval"
فازَ، يَفوزُ، الفَوْز,to win (ب something); to defeat على سز,winnen (ب iets); om على سز te verslaan
ثَوْب، ثِياب,"garment, robe, tunic","kledingstuk, gewaad, tuniek"
ثِياب,"clothes, clothing","kleding, kledingstukken"
بَديل، بَدائِل,"altenative; replacement, substitute; (adjective) alternate, substitute; equivalent","alternatief; vervanging, substituut; (bijvoeglijk naamwoord) alternatief, substituut; equivalent"
مُحيط,"(adjective) peripheral, surrounding; periphery, surrounding area; milieu, environment; ocean","(bijvoeglijk naamwoord) perifeer, omringend; periferie, omringend gebied; milieu, omgeving; oceaan"
المُحيط الهادِئ,the Pacific Ocean,de Stille Oceaan
آية; آيات,"verse (in the Quran); sign, wonder, miracle","vers (in de Koran); teken, wonder, mirakel"
تَهديد; تَهديدات,"threatening, menacing; threat, menace; danger, risk","dreigend, bedreigend; dreiging, gevaar; risico"
هَديّة، هَدايا,"gift, present","geschenk, presentje"
هَديّةً,as a gift,als cadeau
قاعِد,sitting; (with imperfect) in the process of doing something,zittend; (met imperfectum) bezig met iets te doen
موسيقى,music,muziek
بَعَثَ، يَبعَثُ، البَعْث,"to send, mail something or ب something إلى to somebody","iets versturen, mailen of ب iets إلى naar iemand"
نَدوة، نَدَوات,"seminar, symposium, colloquium","seminarie, symposium, colloquium"
جِهاد,"jihad (struggle, from the phrase الجِهاد في سبيل الله)","jihad (strijd, van de uitdrukking الجِهاد في سبيل الله)"
قاعة; قاعات,"hall, large room","hal, grote kamer"
فَرْق,"difference, distinction; discrepancy","verschil, onderscheid; discrepantie"
حِفاظ,"guarding, preserving; memorization; diaper","bewaken, bewaren; onthouden; luier"
جَبهة,"(military, political, weather) front; front line","(militair, politiek, weer) front; frontlinie"
الجَبهة الشَّعبيّة,Popular Front,Volksfront
تَوْقيع,signing; signature,ondertekening; handtekening
مُمتاز,"excellent, superior, first-class; privileged, favored","uitstekend, superieur, eersteklas; bevoorrecht, geprefereerd"
هَمّ، هُموم,"worry, concern; anxiety, distress; care, interest","bezorgdheid, angst, onrust; zorg, interesse"
مُكافَحة,"fight, battle, confrontation","gevecht, strijd, confrontatie"
"فَشِلَ, يَفشَلُ، الفَشْل","to fail, be unsuccessful في in something","falen, niet succesvol zijn في in iets"
حَظّ,"luck, fortune","geluk, fortuin"
ضَيْف، ضُيوف,"guest, visitor","gast, bezoeker"
ثانَويّ,"secondary; lower-ranking, subordinate","secundair; lager in rang, ondergeschikt"
جِسر، جُسور,brige; (reinforcement) beam or bar; (dental) bridge,brug; (versterkings)balk of -staaf; (tandheelkundige) brug
مُتَمَيِّز,"distinguished, outstanding, prominent; different (عن from)","onderscheidend, uitstekend, prominent; anders (عن van)"
بَلدة,"town, township, community","stad, gemeente, gemeenschap"
اِستَحَقَّ,"to deserve, merit something","iets verdienen, iets opbrengen"
تَنفيذيّ,"executive, implementing",uitvoerend verantwoordelijk voor de implementatie
وَزْن,"weighing, measuring the weight of","wegen, het gewicht meten van"
أوْزان,weight,gewicht
طَيَران,"aviation, flying; airline","luchtvaart, vliegen; luchtvaartmaatschappij"
عُقوبة; عُقوبات,"punishment, penalty, sanction","straf, boete, sanctie"
ثابِت,"firm, established, constant; stable, steady","stevig, gevestigd, constant; stabiel, standvastig"
مُؤَشِّر; مُؤَشِّرات,"indicator, index; measure, gage","indicator, index; maat, ijkpunt"
مُؤَشِّرات,"clues, indications, pointers","aanwijzingen, indicaties, wegwijzers"
مَطَر، أمطار,rain,regen
مَفروض,"necessary, required; imposed, prescribed; obligation, duty","noodzakelijk, vereist; opgelegd, voorgeschreven; verplichting, plicht"
فَضَّلَ,to prefer something (على to something else),iets (على) verkiezen boven iets anders
جَمْع,"bringing together, gathering, assembling; joining together","samenbrengen, verzamelen, bijeenbrengen; samenvoegen"
مَقعَد، مَقاعِد,"seat, place","zitplaats, plaats"
مَقتَل,"muder, killing","moord, doden"
ساهَمَ,"to participate in, contribute to","deelnemen aan, bijdragen aan"
اِتَّخَذَ,"to take something; to adopt, pass (a resolution)","Iets aannemen; een resolutie goedkeuren, aannemen"
راحة,"rest, relaxation, repose, leisure","rust, ontspanning, ontspanning, vrije tijd"
راحة اليَد,palm of the hand,handpalm
أحَسَّ,"to feel, sense ب something of أنّ that","om dat te voelen, te voelen"
فَضاء,"space; (outer) space, cosmos; vacant (plot of land)","ruimte; (buiten)ruimte, kosmos; onbebouwd (stuk grond)"
مُستَقِلّ,"independent, autonomous","onafhankelijk, autonoom"
تُركيّ، أتراك/تُرْك,Turk; Turkish,Turk; Turks
أُفْق، آفاق,"horizon; view, perspective; outlook, prospects","horizon; zicht, perspectief; vooruitzicht, vooruitzichten"
حُثّة، حُثَث,"corpse, body","lijk, lichaam"
شِبه,"semi-, almost, like","semi-, bijna, zoals"
شَرَف,"honor, distinction","eer, onderscheiding"
هِويّة,identity; identity card,identiteit; identiteitskaart
بَطاقة; بَطاقات,card; tag; ticket; ballot,kaart; label; ticket; stembiljet
"رُكْن, أركان","pillar, foundation, support; (military) chief of staff; corner, nook; section (newspaper)","pijler, fundament, steun; (militair) stafchef; hoek, nis; sectie (krant)"
مُصاب,"injured, wounded; afflicted","gewond, gekwetst; getroffen"
صاروخ، صَواريخ,"missile, rocket","raket, raket"
تَحَوُّل; تَحَوُّلات,"change, transformation, conversion","verandering, transformatie, omzetting"
روسيّ، روس,Russian,Russisch
ّجَوّي,"air, aerial; atmospheric; climatic, weather-related","lucht, in de lucht; atmosferisch; klimatologisch, weergerelateerd"
سَيِّء,bad,slecht
أمان,"safety, security, protection","veiligheid, beveiliging, bescherming"
أكْل,"eating; consuming; food, meal","eten; consumeren; voedsel, maaltijd"
مُرَشَّح,"nominated, selected; expected, prepared, slated; (most) likely; candidate, nominee","genomineerd, geselecteerd; verwacht, voorbereid, gepland; (meest) waarschijnlijk; kandidaat, genomineerde"
وَصْف، أوْصاف,"description, portrayal, characterization; characteristic, trait","beschrijving, weergave, karakterisering; kenmerk, eigenschap"
بِوَصْفِهِ,"in his capacity as (chairman, minister, etc)","in zijn hoedanigheid als (voorzitter, minister, enz.)"
مُلاحَظة; مُلاحَظات,"observing, noticing; note, remark, observation","observeren, opmerken; notitie, opmerking, observatie"
لَقَب، ألقاب,title; nickname,titel; bijnaam
مَسافة; مَسافات,"distance, interval","afstand, interval"
فَقْر,"poverty, lack of","armoede, gebrek aan"
فَقْر الدَّمّ,anemia,anemie
اِنتِشار,"spreading, diffusion","verspreiding, diffusie"
خائِف,"afraid, fearful, frightened","bang, angstig, verschrikt"
ما أحلاها,how pretty she is!,Wat is ze toch mooi!
تَواصُل,"continuation, maintaining; interconnection, mutual contact; intercommunication","voortzetting, instandhouding; onderlinge verbinding, wederzijds contact; onderlinge communicatie"
ظُهور,"appearance, emergence; advent","verschijning, opkomst; komst"
زِراعة,"agriculture, cultivation; implanting, transplanting (organ)","landbouw, teelt; implanteren, transplanteren (van een orgaan)"
غَرَض، أغراض,"goal, purpose, intent","doel, streven, intentie"
إمكان; إمكانات,"capability, ability, power; possibility, (what is) possible","vermogen, bekwaamheid, macht; mogelijkheid, (wat) mogelijk is"
أثبَتَ,"to prove, ascertain, establish something","iets bewijzen, vaststellen, bewijzen"
تَلَقّى,"to receive, get","ontvangen, krijgen"
جلالة,majesty; (in titles) His Majesty,majesteit; (in titels) Zijne Majesteit
بِنية، بُنىً,"structure; make-up, physique","structuur; samenstelling, lichaamsbouw"
بَنية تَحتيّة,infrastructure,infrastructuur
تَحسين,"improving, enhancing, bettering; improvement, enhancement","verbeteren, versterken, verbeteren; verbetering, versterking"
مَبنى، مَبانً/المَباني,"building, edifice; structure","gebouw, bouwwerk; constructie"
فَم، أفواه,mouth,mond
أهَمَّ,to concern somebody; to be important to somebody,iemand aangaan; belangrijk zijn voor iemand
اِمتِحان; اِمتِحانات,"examination, test; trial","onderzoek, test; proef"
طِبّ,"medicine, medical treatment","geneeskunde, medische behandeling"
مُقَدِّمة; مُقَدِّمات,"preface, introduction; front part","voorwoord, inleiding; voorwoord"
فَرْع، فُروع,"branch, department, subdivision, section","afdeling, departement, onderverdeling, sectie"
مَصير,"path, destiny, fate","pad, bestemming, lot"
سَليم,"correct, sound; flawless; safe","correct, degelijk; foutloos; veilig"
تَرتيب; تَرتيبات,"preparation, arrangement, putting in order; organization, planning","voorbereiding, ordening, op orde brengen; organisatie, planning"
مَبروك,(adjective) blessed. happy; congratulations! (على on/for),(bijvoeglijk naamwoord) gezegend. blij; gefeliciteerd! (على op/voor)
